Date,pm25,pm10,no2,co,o3,so2
2025-03-27,120,42,10,0,0,0
2025-03-28,113,27,8,0,0,0
2025-03-29,74,16,7,0,0,0
2025-03-30,47,27,7,0,0,0
2025-03-31,75,37,10,0,0,0
2021-04-01,64,18,13,3,0,0
2021-04-02,25,14,14,2,0,0
2021-04-03,16,44,15,3,0,0
2021-04-04,60,51,15,5,0,0
2021-04-05,78,58,15,4,0,0
2021-04-06,91,28,15,3,0,0
2021-04-07,38,36,15,2,0,0
2021-04-08,49,8,14,3,0,0
2021-04-09,9,30,17,5,0,0
2021-04-10,45,59,16,4,0,0
2021-04-11,89,21,16,2,0,0
2021-04-12,24,11,13,1,0,0
2021-04-13,11,19,14,2,0,0
2021-04-14,23,10,11,2,0,0
2021-04-15,11,9,12,2,0,0
2021-04-16,9,15,13,3,0,0
2021-04-17,17,22,17,5,0,0
2021-04-18,30,39,13,3,0,0
2021-04-19,55,17,13,1,0,0
2021-04-20,21,10,12,1,0,0
2021-04-21,11,16,12,1,0,0
2021-04-22,16,9,13,2,0,0
2021-04-23,9,11,12,2,0,0
2021-04-24,11,13,12,2,0,0
2021-04-25,14,12,15,3,0,0
2021-04-26,13,5,16,4,0,0
2021-04-27,6,18,15,4,0,0
2021-04-28,24,2,13,2,0,0
2021-04-29,2,0,0,0,0,0
2021-05-03,5,7,17,2,0,0
2021-05-04,6,8,12,1,0,0
2021-05-05,7,0,0,0,0,0
2021-02-17,27,42,13,3,0,0
2021-02-18,64,74,13,4,0,0
2021-02-19,127,60,16,3,0,0
2021-02-20,107,61,17,2,0,0
2021-02-21,93,40,13,1,0,0
2021-02-22,59,36,14,2,0,0
2021-02-23,55,49,16,1,0,0
2021-02-24,68,40,13,1,0,0
2021-02-25,57,23,11,2,0,0
2021-02-26,26,28,14,3,0,0
2021-02-27,43,50,15,5,0,0
2021-02-28,85,66,17,6,0,0
2021-03-01,107,19,14,4,0,0
2021-03-02,25,34,15,4,0,0
2021-03-03,50,55,17,5,0,0
2021-03-04,89,52,16,6,0,0
2021-03-05,85,54,15,6,0,0
2021-03-06,81,36,13,3,0,0
2021-03-07,46,59,12,4,0,0
2021-03-08,94,23,11,2,0,0
2021-03-09,30,18,12,1,0,0
2021-03-10,22,13,12,2,0,0
2021-03-11,16,27,12,2,0,0
2021-03-12,37,34,13,3,0,0
2021-03-13,50,38,14,2,0,0
2021-03-14,59,26,17,2,0,0
2021-03-15,37,44,11,2,0,0
2021-03-16,58,25,12,2,0,0
2021-03-17,32,18,13,2,0,0
2021-03-18,23,14,11,2,0,0
2021-03-19,17,14,12,2,0,0
2021-03-20,16,16,13,2,0,0
2021-03-21,17,27,13,3,0,0
2021-03-22,36,41,17,3,0,0
2021-03-23,57,39,18,4,0,0
2021-03-24,56,65,14,4,0,0
2021-03-25,106,58,16,3,0,0
2021-03-26,86,23,14,2,0,0
2021-03-27,32,32,12,2,0,0
2021-03-28,44,78,12,3,0,0
2021-03-29,131,64,17,4,0,0
2021-03-30,99,54,16,4,0,0
2021-03-31,77,49,13,2,0,0
2025-01-06,0,69,18,0,0,0
2021-05-02,0,6,13,1,0,0
2021-02-16,0,19,11,3,0,0
