Date,pm25,pm10,o3,no2,so2,co
2025-04-01,143,0,0,0,0,0
2025-04-02,169,0,0,0,0,0
2025-04-03,149,0,0,0,0,0
2025-04-04,141,0,0,0,0,0
2025-04-05,154,0,0,0,0,0
2025-04-06,165,0,0,0,0,0
2025-04-07,162,0,0,0,0,0
2025-04-08,160,0,0,0,0,0
2025-04-09,149,0,0,0,0,0
2025-04-10,142,0,0,0,0,0
2025-04-11,148,0,0,0,0,0
2025-04-12,148,0,0,0,0,0
2025-04-13,83,0,0,0,0,0
2025-04-14,107,0,0,0,0,0
2025-04-15,137,0,0,0,0,0
2025-04-16,119,0,0,0,0,0
2025-04-17,120,0,0,0,0,0
2025-01-08,172,0,0,0,0,0
2025-01-09,187,0,0,0,0,0
2025-01-10,137,0,0,0,0,0
2025-01-11,144,0,0,0,0,0
2025-01-12,173,0,0,0,0,0
2025-01-13,194,0,0,0,0,0
2025-01-14,201,0,0,0,0,0
2025-01-15,226,0,0,0,0,0
2025-01-16,184,0,0,0,0,0
2025-01-17,188,0,0,0,0,0
2025-01-18,213,0,0,0,0,0
2025-01-19,214,0,0,0,0,0
2025-01-20,242,0,0,0,0,0
2025-01-21,250,0,0,0,0,0
2025-01-22,199,0,0,0,0,0
2025-01-23,168,0,0,0,0,0
2025-01-24,167,0,0,0,0,0
2025-01-25,151,0,0,0,0,0
2025-01-26,89,0,0,0,0,0
2025-01-27,111,0,0,0,0,0
2025-01-28,130,0,0,0,0,0
2025-01-29,188,0,0,0,0,0
2025-01-30,165,0,0,0,0,0
2025-01-31,126,0,0,0,0,0
2025-02-01,124,0,0,0,0,0
2025-02-02,108,0,0,0,0,0
2025-02-03,82,0,0,0,0,0
2025-02-04,116,0,0,0,0,0
2025-02-05,160,0,0,0,0,0
2025-02-06,166,0,0,0,0,0
2025-02-07,48,0,0,0,0,0
2025-02-08,86,0,0,0,0,0
2025-02-09,146,0,0,0,0,0
2025-02-10,200,0,0,0,0,0
2025-02-11,223,0,0,0,0,0
2025-02-12,215,0,0,0,0,0
2025-02-13,184,0,0,0,0,0
2025-02-14,165,0,0,0,0,0
2025-02-15,150,0,0,0,0,0
2025-02-16,89,0,0,0,0,0
2025-02-17,137,0,0,0,0,0
2025-02-18,110,0,0,0,0,0
2025-02-19,131,0,0,0,0,0
2025-02-20,167,0,0,0,0,0
2025-02-21,155,0,0,0,0,0
2025-02-22,165,0,0,0,0,0
2025-02-23,87,0,0,0,0,0
2025-02-24,98,0,0,0,0,0
2025-02-25,135,0,0,0,0,0
2025-02-26,129,0,0,0,0,0
2025-02-27,176,0,0,0,0,0
2025-02-28,149,0,0,0,0,0
2025-03-01,147,0,0,0,0,0
2025-03-02,124,0,0,0,0,0
2025-03-03,128,0,0,0,0,0
2025-03-04,133,0,0,0,0,0
2025-03-05,140,0,0,0,0,0
2025-03-06,117,0,0,0,0,0
2025-03-07,112,0,0,0,0,0
2025-03-08,163,0,0,0,0,0
2025-03-09,177,0,0,0,0,0
2025-03-10,177,0,0,0,0,0
2025-03-11,155,0,0,0,0,0
2025-03-12,114,0,0,0,0,0
2025-03-13,111,0,0,0,0,0
2025-03-14,130,0,0,0,0,0
2025-03-15,116,0,0,0,0,0
2025-03-16,91,0,0,0,0,0
2025-03-17,139,0,0,0,0,0
2025-03-18,141,0,0,0,0,0
2025-03-19,124,0,0,0,0,0
2025-03-20,155,0,0,0,0,0
2025-03-21,195,0,0,0,0,0
2025-03-22,181,0,0,0,0,0
2025-03-23,172,0,0,0,0,0
2025-03-24,173,0,0,0,0,0
2025-03-25,162,0,0,0,0,0
