Date,pm25,pm10,o3,no2,so2,co
2023-06-25,15,46,19,0,0,8
2023-06-26,26,44,21,0,0,7
2023-06-27,25,33,10,0,0,7
2023-06-28,24,44,14,0,0,7
2023-06-29,28,48,17,0,0,7
2023-06-30,29,51,19,0,0,5
2023-01-02,155,104,0,26,1,7
2023-01-03,167,101,0,30,1,8
2023-01-04,161,97,0,58,1,14
2023-01-05,157,69,0,53,1,6
2023-01-06,102,0,0,0,0,0
2023-01-08,136,105,1,39,1,3
2023-01-09,168,97,1,44,1,4
2023-01-10,159,70,1,40,1,5
2023-01-11,109,58,1,45,1,8
2023-01-12,73,56,1,65,1,6
2023-01-13,57,0,0,0,0,0
2023-01-15,91,61,1,38,1,10
2023-01-16,88,65,1,42,1,6
2023-01-17,106,72,1,39,1,8
2023-01-18,109,94,1,42,1,12
2023-01-19,136,109,1,48,1,13
2023-01-20,165,113,1,49,1,11
2023-01-21,175,153,1,45,1,14
2023-01-22,199,110,1,39,1,16
2023-01-23,145,53,1,29,1,12
2023-01-24,71,79,1,21,1,16
2023-01-25,122,92,1,21,1,14
2023-01-26,129,89,1,18,1,8
2023-01-27,138,0,0,0,0,0
2023-01-29,151,123,2,26,1,11
2023-01-30,170,104,2,27,1,13
2023-01-31,155,87,1,24,1,9
2023-02-01,106,64,1,17,1,6
2023-02-02,67,0,0,0,0,0
2023-02-10,52,49,0,0,5,7
2023-02-11,51,72,0,0,1,5
2023-02-12,88,64,0,0,1,6
2023-02-13,83,47,0,0,14,1
2023-02-14,63,50,0,0,12,2
2023-02-15,67,60,0,0,13,3
2023-02-16,92,92,5,0,24,5
2023-02-17,138,76,0,0,0,2
2023-02-18,107,80,0,0,0,1
2023-02-19,126,55,1,0,18,8
2023-02-20,80,84,9,0,25,14
2023-02-21,109,72,7,0,15,9
2023-02-22,89,74,5,0,0,8
2023-02-23,83,52,5,0,0,5
2023-02-24,56,39,19,0,0,4
2023-02-25,59,77,21,0,0,12
2023-02-26,118,82,21,0,0,12
2023-02-27,121,90,0,0,0,13
2023-02-28,119,87,0,0,0,8
2023-03-01,109,117,0,0,0,3
2023-03-02,156,0,0,0,0,0
2023-03-10,106,75,5,0,1,10
2023-03-11,58,92,10,0,1,9
2023-03-12,82,67,13,0,1,5
2023-03-13,55,105,15,0,1,9
2023-03-14,94,103,7,0,1,10
2023-03-15,85,69,6,0,1,11
2023-03-16,41,66,4,0,1,10
2023-03-17,36,62,5,0,3,8
2023-03-18,42,59,6,0,0,8
2023-03-19,34,68,6,0,1,9
2023-03-20,38,80,8,0,1,10
2023-03-21,54,109,11,0,1,10
2023-03-22,88,95,8,0,1,9
2023-03-23,78,84,8,0,5,5
2023-03-24,73,71,9,0,2,9
2023-03-25,45,30,5,0,22,5
2023-03-26,15,20,5,0,0,2
2023-03-27,9,36,7,0,0,3
2023-03-28,18,35,6,0,0,6
2023-03-29,21,46,4,0,0,5
2023-03-30,30,77,6,0,0,8
2023-03-31,75,64,5,0,0,11
2022-12-20,93,55,8,21,1,3
2022-12-21,89,78,2,25,1,8
2022-12-22,136,100,1,27,1,8
2022-12-23,152,0,0,0,0,0
2022-12-25,145,94,2,33,1,11
2022-12-26,144,97,0,27,2,12
2022-12-27,145,106,1,27,1,13
2022-12-28,157,62,1,22,1,8
2022-12-29,81,63,0,20,1,5
2022-12-30,101,0,0,0,0,0
2021-07-04,69,57,5,17,2,4
2021-07-05,53,0,0,0,0,0
2021-07-10,52,56,4,24,3,4
2021-07-11,54,50,5,26,4,5
2021-07-12,49,58,4,20,6,5
2021-07-13,67,55,4,20,6,4
2021-07-14,54,54,0,0,5,0
2021-07-15,54,56,1,0,0,10
2021-07-16,58,63,4,0,0,7
2021-07-17,66,57,2,0,0,5
2021-07-18,58,62,3,0,0,5
2021-07-19,78,60,2,0,0,6
2021-07-20,73,46,2,0,0,5
2021-07-21,50,59,1,0,0,7
2021-07-22,70,34,1,0,0,7
2021-07-23,34,42,1,0,0,4
2021-07-24,48,52,2,0,0,3
2021-07-25,60,37,1,0,0,3
2021-07-26,47,33,1,0,0,3
2021-07-27,34,35,1,0,0,2
2021-07-28,41,50,1,0,0,3
2021-07-29,67,56,1,0,0,2
2021-07-30,73,44,2,0,0,2
2021-07-31,54,24,1,0,0,2
2021-08-01,32,45,2,0,0,3
2021-08-02,44,47,2,0,3,2
2021-08-03,61,63,2,0,3,3
2021-08-04,87,54,1,0,0,3
2021-08-05,72,54,1,0,0,3
2021-08-06,82,40,1,0,0,3
2021-08-07,43,64,1,0,0,3
2021-08-08,79,71,1,0,0,4
2021-08-09,91,37,1,0,0,3
2021-08-10,40,36,1,0,0,3
2021-08-11,33,35,1,0,0,3
2021-08-12,36,32,1,0,0,3
2021-08-13,37,37,1,0,0,3
2021-08-14,38,14,1,0,0,2
2021-08-15,29,0,0,0,0,0
2021-01-04,164,156,0,59,1,14
2021-01-05,218,105,0,54,1,6
2021-01-06,160,99,0,47,1,5
2021-01-07,152,34,0,39,1,4
2021-01-08,50,40,1,39,1,3
2021-01-09,56,58,1,44,1,4
2021-01-10,85,68,2,39,1,4
2021-01-11,106,74,2,44,1,8
2021-01-12,113,116,1,56,1,13
2021-01-13,166,109,1,51,1,11
2021-01-14,162,124,1,56,1,15
2021-01-15,180,121,4,53,1,10
2021-01-16,182,100,2,42,1,6
2021-01-17,148,69,1,39,1,8
2021-01-18,116,100,5,42,1,12
2021-01-19,155,119,5,48,1,13
2021-01-20,171,165,5,48,1,11
2021-01-21,207,163,2,46,1,14
2021-01-22,207,132,3,39,1,16
2021-01-23,178,104,1,29,1,12
2021-01-24,165,101,1,21,1,16
2021-01-25,156,83,1,21,1,14
2021-01-26,113,74,2,19,1,12
2021-01-27,104,73,4,19,1,6
2021-01-28,101,97,2,24,1,11
2021-01-29,142,132,2,26,1,11
2021-01-30,179,145,1,27,1,13
2021-01-31,188,108,1,24,1,13
2021-02-01,144,75,1,20,1,11
2021-02-02,110,82,1,23,1,10
2021-02-03,125,76,1,22,1,11
2021-02-04,114,93,2,22,1,11
2021-02-05,134,85,2,23,1,10
2021-02-06,130,84,2,22,1,9
2021-02-07,138,87,1,20,1,7
2021-02-08,130,38,1,24,1,5
2021-02-09,50,62,3,30,1,10
2021-02-10,113,57,3,28,1,8
2021-02-11,92,33,3,20,1,5
2021-02-12,55,40,3,26,1,6
2021-02-13,63,62,2,22,1,5
2021-02-14,82,67,17,25,1,6
2021-02-15,103,76,1,20,1,5
2021-02-16,108,61,1,22,1,6
2021-02-17,89,69,1,26,1,7
2021-02-18,105,95,2,38,2,9
2021-02-19,154,78,2,70,1,9
2021-02-20,142,67,1,70,1,7
2021-02-21,113,63,2,52,1,7
2021-02-22,100,68,1,51,1,8
2021-02-23,108,67,1,48,1,8
2021-02-24,102,57,1,56,1,7
2021-02-25,85,36,1,46,1,7
2021-02-26,47,0,0,0,0,0
2020-10-01,60,58,1,18,1,11
2020-10-02,75,59,0,23,1,11
2020-10-03,78,59,0,20,2,10
2020-10-04,71,54,1,16,2,12
2020-10-05,64,52,1,20,1,5
2020-10-06,57,31,1,20,3,4
2020-10-07,38,34,1,10,1,3
2020-10-08,45,32,1,12,2,3
2020-10-09,43,35,1,17,2,3
2020-10-10,48,43,1,14,2,4
2020-10-11,57,57,1,17,1,6
2020-10-12,87,68,1,19,1,7
2020-10-13,104,49,1,12,1,4
2020-10-14,69,26,1,9,2,7
2020-10-15,31,28,1,10,2,5
2020-10-16,33,23,1,7,1,5
2020-10-17,32,31,1,7,1,7
2020-10-18,40,33,2,8,2,6
2020-10-19,43,38,1,9,1,5
2020-10-20,54,43,1,10,1,5
2020-10-21,59,67,1,19,1,10
2020-10-22,102,79,2,17,1,13
2020-10-23,113,76,1,19,1,13
2020-10-24,106,79,1,15,1,7
2020-10-25,113,57,1,13,1,7
2020-10-26,84,56,1,14,2,9
2020-10-27,77,63,0,18,1,8
2020-10-28,94,37,0,16,1,6
2020-10-29,55,23,1,13,1,8
2020-10-30,34,42,1,14,1,12
2020-10-31,54,77,1,13,1,16
2020-11-01,114,67,1,15,1,9
2020-11-02,97,31,1,15,1,5
2020-11-03,43,55,1,13,1,7
2020-11-04,82,78,1,18,1,12
2020-11-05,103,91,1,21,1,10
2020-11-06,137,68,1,22,1,10
2020-11-07,97,61,2,26,1,8
2020-11-08,88,69,2,35,1,7
2020-11-09,109,75,2,34,1,8
2020-11-10,103,80,2,37,1,10
2020-11-11,121,81,3,32,1,11
2020-11-12,112,88,3,31,1,9
2020-11-13,130,73,4,30,1,7
2020-11-14,107,48,2,29,1,7
2020-11-15,80,51,2,26,1,10
2020-11-16,69,55,3,27,1,15
2020-11-17,81,69,3,29,1,13
2020-11-18,91,76,2,35,1,15
2020-11-19,89,70,1,24,1,14
2020-11-20,83,63,1,21,1,13
2020-11-21,74,57,1,23,1,11
2020-11-22,64,58,1,21,1,13
2020-11-23,67,65,1,21,1,13
2020-11-24,85,71,1,16,1,14
2020-11-25,96,65,2,14,1,10
2020-11-26,85,71,2,13,1,6
2020-11-27,98,44,2,12,1,4
2020-11-28,62,37,3,13,1,4
2020-11-29,50,45,3,15,1,6
2020-11-30,65,57,2,17,1,6
2020-12-01,96,71,2,20,1,10
2020-12-02,116,68,2,16,1,6
2020-12-03,96,40,2,17,1,6
2020-12-04,50,46,2,19,1,7
2020-12-05,67,66,2,25,1,10
2020-12-06,103,76,3,22,1,7
2020-12-07,120,67,2,23,1,8
2020-12-08,109,89,2,26,1,10
2020-12-09,128,90,2,25,1,12
2020-12-10,138,103,2,27,1,13
2020-12-11,163,72,2,22,1,10
2020-12-12,116,83,1,21,1,13
2020-12-13,126,68,2,19,1,10
2020-12-14,102,27,3,18,1,4
2020-12-15,36,23,2,20,1,4
2020-12-16,28,27,2,21,1,4
2020-12-17,40,33,1,21,1,4
2020-12-18,47,47,1,21,1,4
2020-12-19,72,51,1,21,1,4
2020-12-20,78,58,1,22,1,5
2020-12-21,97,79,3,25,1,8
2020-12-22,137,84,1,26,1,7
2020-12-23,139,60,1,27,1,9
2020-12-24,103,94,1,31,1,15
2020-12-25,138,94,2,33,1,11
2020-12-26,144,110,0,27,2,12
2020-12-27,167,74,0,25,2,14
2020-12-28,110,54,1,22,2,8
2020-12-29,71,54,0,16,1,5
2020-12-30,90,51,0,13,1,4
2020-12-31,85,0,0,0,0,0
2020-08-23,74,60,0,19,4,10
2020-08-24,76,49,1,15,1,9
2020-08-25,54,52,1,16,2,10
2020-08-26,66,70,1,30,2,10
2020-08-27,99,58,1,26,2,11
2020-08-28,75,57,1,23,1,11
2020-08-29,74,62,1,25,1,11
2020-08-30,79,62,1,22,3,10
2020-08-31,80,58,1,13,3,10
2020-09-01,79,82,1,20,4,8
2020-09-02,127,73,1,17,1,12
2020-09-03,99,71,1,14,3,11
2020-09-04,104,70,0,16,2,12
2020-09-05,96,0,0,0,0,0
2020-09-07,54,65,1,29,1,12
2020-09-08,87,59,1,27,1,11
2020-09-09,70,63,1,37,1,14
2020-09-10,63,60,1,36,1,12
2020-09-11,66,63,1,42,4,12
2020-09-12,73,52,1,27,1,9
2020-09-13,61,50,1,25,1,12
2020-09-14,51,63,2,32,2,12
2020-09-15,66,61,0,26,3,11
2020-09-16,69,71,1,31,3,8
2020-09-17,85,33,0,25,2,3
2020-09-18,40,39,0,18,1,7
2020-09-19,44,58,0,20,1,12
2020-09-20,70,77,0,33,3,13
2020-09-21,105,57,1,44,1,15
2020-09-22,56,58,0,29,1,14
2020-09-23,60,40,0,26,2,8
2020-09-24,46,63,1,35,2,11
2020-09-25,78,46,0,50,1,10
2020-09-26,41,45,1,31,1,8
2020-09-27,41,62,1,38,3,11
2020-09-28,72,66,1,45,2,11
2020-09-29,86,59,1,46,1,12
2020-09-30,74,51,1,26,3,13
2025-01-06,0,127,0,0,0,0
2025-01-17,0,99,0,0,0,0
2025-01-18,0,111,0,0,0,0
2025-01-19,0,138,0,0,0,0
2025-01-20,0,112,0,0,0,0
2025-01-21,0,89,0,0,0,0
2025-01-22,0,73,0,0,0,0
2025-01-23,0,60,0,0,0,0
2025-01-24,0,61,0,0,0,0
2025-01-25,0,28,0,0,0,0
2025-01-26,0,53,0,0,0,0
2025-01-27,0,60,0,0,0,0
2025-01-28,0,77,0,0,0,0
2025-01-29,0,72,0,0,0,0
2025-01-30,0,52,0,0,0,0
2025-01-31,0,49,0,0,0,0
2025-02-01,0,40,0,0,0,0
2025-02-02,0,21,0,0,0,0
2025-02-03,0,27,0,0,45,0
2025-02-04,0,55,6,0,17,0
2025-02-17,0,28,4,0,0,0
2025-02-18,0,46,3,0,0,0
2025-02-19,0,103,3,0,1,0
2025-02-20,0,79,4,0,1,0
2025-02-21,0,74,2,0,1,0
2025-02-22,0,34,4,0,0,0
2025-02-23,0,22,3,0,0,0
2025-02-24,0,39,3,0,0,0
2025-02-25,0,41,4,0,28,0
2025-02-26,0,96,4,0,5,0
2025-02-27,0,88,4,0,4,0
2025-02-28,0,82,3,0,4,0
2025-03-01,0,57,3,0,4,0
2025-03-02,0,65,7,0,4,0
2025-03-03,0,69,11,0,6,0
2025-03-04,0,78,4,0,5,0
2025-03-05,0,46,5,0,1,0
2025-03-06,0,41,6,0,1,0
2025-03-07,0,67,4,0,1,0
2025-03-08,0,100,6,0,1,0
2025-03-09,0,116,4,0,2,0
2025-03-10,0,86,6,0,2,0
2025-03-11,0,60,3,0,2,0
2025-03-12,0,53,4,0,1,0
2025-03-13,0,73,10,0,1,0
2025-03-14,0,60,7,0,0,0
2025-03-15,0,25,8,0,0,0
