Date,pm25,pm10,no2,co,o3,so2
2021-03-23,51,42,11,2,0,0
2021-03-24,59,56,14,4,0,0
2021-03-25,94,50,8,1,0,0
2021-03-26,72,28,6,1,0,0
2021-03-27,37,42,6,1,0,0
2021-03-28,50,50,6,1,0,0
2021-03-29,66,52,5,1,0,0
2021-03-30,73,41,6,1,0,0
2021-03-31,52,40,5,1,0,0
2025-01-06,0,80,9,0,0,0
2021-05-02,0,7,6,1,0,0
2021-02-16,0,19,6,1,0,0
